id,city,date,time,severity,weather_condition,road_condition,num_vehicles,latitude,longitude
1,Los Angeles,2021-08-17,02:17,Low,Clear,Wet,5,26.9996,-100.0601
2,Phoenix,2021-03-03,06:14,Low,Clear,Wet,5,34.649,-98.6411
3,San Jose,2022-07-24,19:00,Low,Clear,Dry,2,47.0159,-104.4971
4,Jacksonville,2021-07-09,11:22,Medium,Snow,Wet,5,27.871,-74.0406
5,San Antonio,2021-06-11,15:53,High,Clear,Dry,1,26.054,-110.1493
6,Los Angeles,2022-08-16,23:54,Low,Clear,Wet,3,28.741,-103.5259
7,San Diego,2022-07-01,17:43,Medium,Clear,Wet,2,35.632,-107.9627
8,San Jose,2022-03-26,17:53,Low,Snow,Icy,4,31.158,-111.0289
9,Houston,2022-10-07,08:31,High,Rain,Dry,2,42.1347,-93.9732
10,Chicago,2023-05-28,20:25,High,Clear,Dry,1,44.8054,-114.0523
11,San Antonio,2021-11-24,19:27,Low,Rain,Dry,3,47.3348,-77.2395
12,Dallas,2021-01-24,17:07,Medium,Clear,Wet,1,31.7505,-113.7758
13,Dallas,2021-01-07,22:56,High,Fog,Wet,1,45.0219,-106.4809
14,Chicago,2023-11-06,16:09,Low,Hail,Slippery,1,38.7757,-96.5925
15,Indianapolis,2021-08-18,21:56,High,Clear,Dry,5,46.7798,-117.546
16,Philadelphia,2023-09-23,19:48,Low,Rain,Slippery,2,31.0963,-76.6335
17,Philadelphia,2023-05-17,22:59,Medium,Clear,Dry,3,35.0763,-95.0861
18,Chicago,2021-09-05,09:04,Medium,Clear,Dry,1,41.2803,-118.9386
19,Chicago,2021-05-19,21:55,Medium,Clear,Dry,5,28.0432,-73.3533
20,Austin,2023-08-27,09:30,Low,Clear,Dry,4,34.4554,-77.0805
21,New York,2021-04-21,17:41,Medium,Clear,Slippery,2,29.4066,-94.1131
22,Houston,2021-10-15,12:17,High,Clear,Icy,5,27.2519,-88.0885
23,San Jose,2021-01-31,22:59,Low,Clear,Dry,4,45.7562,-113.4389
24,Charlotte,2021-01-05,23:16,Medium,Clear,Wet,5,40.223,-96.6931
25,Philadelphia,2022-01-24,10:03,Medium,Fog,Dry,5,35.9661,-74.1919
26,New York,2023-12-24,07:32,Low,Rain,Wet,2,34.2868,-73.037
27,San Antonio,2022-05-20,15:02,Medium,Rain,Wet,3,29.698,-84.758
28,San Diego,2022-05-04,09:08,Low,Clear,Icy,1,25.2143,-89.6997
29,Phoenix,2021-07-24,05:13,Low,Clear,Dry,2,33.4991,-113.7972
30,San Diego,2022-09-12,16:51,Low,Snow,Dry,1,46.5954,-115.0169
31,Philadelphia,2021-08-25,20:47,Low,Rain,Wet,2,40.8124,-77.6485
32,Columbus,2023-11-02,13:57,Low,Rain,Icy,1,25.0816,-81.9018
33,Philadelphia,2022-06-21,07:28,Medium,Clear,Dry,2,37.5486,-78.6011
34,Chicago,2021-10-31,12:02,High,Fog,Slippery,3,29.8318,-109.0245
35,Columbus,2021-07-30,11:35,Medium,Rain,Dry,2,44.8859,-71.2373
36,Los Angeles,2021-12-29,20:01,High,Fog,Dry,2,31.1365,-81.0565
37,Jacksonville,2021-08-10,12:02,Low,Snow,Dry,3,43.8723,-76.6912
38,Houston,2022-04-02,02:12,Low,Clear,Icy,3,39.7541,-101.2167
39,Columbus,2022-11-10,21:07,Low,Rain,Under Construction,1,27.4933,-99.4027
40,New York,2022-10-05,12:32,High,Clear,Dry,4,25.0389,-73.8701
41,Charlotte,2022-02-08,11:04,High,Rain,Wet,1,41.5543,-106.3832
42,Houston,2022-09-26,17:20,Low,Clear,Dry,4,40.5783,-75.0541
43,New York,2022-09-09,12:53,Low,Clear,Wet,3,35.6947,-99.0077
44,Columbus,2022-03-14,14:50,Medium,Clear,Dry,5,40.2686,-89.7984
45,Los Angeles,2021-07-11,19:48,Low,Snow,Dry,1,30.6314,-97.2929
46,San Antonio,2021-05-30,13:56,Low,Rain,Dry,2,28.3941,-86.2436
47,Los Angeles,2021-08-07,18:14,High,Rain,Dry,2,46.1018,-115.6894
48,Philadelphia,2021-10-01,19:42,Medium,Clear,Icy,4,39.091,-84.5978
49,Philadelphia,2023-10-31,12:58,High,Fog,Dry,3,42.2909,-78.3271
50,Phoenix,2022-07-22,18:33,Low,Clear,Wet,2,31.2494,-105.3751
51,Chicago,2021-06-15,07:14,Low,Clear,Dry,3,37.4801,-100.3797
52,Columbus,2022-02-28,19:24,Medium,Rain,Slippery,5,33.7488,-121.6934
53,Jacksonville,2022-12-22,10:24,High,Clear,Wet,5,43.397,-75.3138
54,Phoenix,2023-09-27,08:27,Low,Rain,Icy,2,44.3316,-74.1838
55,San Antonio,2023-12-30,02:25,Medium,Clear,Dry,4,29.1798,-108.4719
56,Chicago,2022-11-02,08:20,High,Clear,Under Construction,4,30.8022,-117.7409
57,Indianapolis,2021-02-09,18:03,Low,Rain,Icy,1,42.3474,-72.6202
58,Los Angeles,2022-02-13,19:39,Low,Rain,Wet,2,35.6958,-108.6753
59,Indianapolis,2023-01-26,07:38,Medium,Fog,Dry,3,27.4863,-120.6647
60,Indianapolis,2022-10-01,15:58,Low,Fog,Dry,2,27.3437,-81.831
61,San Jose,2021-09-05,19:36,Low,Clear,Dry,5,39.8935,-121.3421
62,Houston,2023-05-11,19:06,Low,Cloudy,Dry,2,35.0162,-83.8426
63,Philadelphia,2022-07-08,16:58,Medium,Clear,Wet,3,32.413,-109.2343
64,Los Angeles,2021-06-27,09:28,Medium,Rain,Dry,1,36.369,-105.0993
65,Los Angeles,2023-09-26,08:51,Low,Rain,Slippery,5,25.2335,-72.7007
66,Phoenix,2021-06-25,09:26,Medium,Rain,Wet,4,35.308,-121.1034
67,Los Angeles,2022-08-26,08:44,Medium,Clear,Wet,3,34.7866,-83.2114
68,Los Angeles,2022-11-09,11:29,Low,Clear,Dry,1,42.0863,-72.5544
69,Phoenix,2022-01-15,08:47,Medium,Hail,Wet,3,47.5517,-78.7033
70,Chicago,2022-08-30,08:11,Medium,Clear,Dry,1,37.7273,-85.7343
71,Phoenix,2021-09-16,16:48,High,Rain,Dry,4,32.8362,-71.7941
72,New York,2022-06-02,21:30,Low,Rain,Wet,1,28.4897,-79.8206
73,New York,2022-09-15,06:15,Medium,Rain,Icy,2,42.841,-102.2203
74,Indianapolis,2023-06-26,10:37,Low,Rain,Wet,1,46.7946,-111.195
75,Los Angeles,2022-03-09,09:05,Low,Clear,Dry,4,40.8555,-97.5646
76,Los Angeles,2021-03-08,08:45,High,Clear,Dry,3,43.12,-89.497
77,Los Angeles,2022-02-10,12:34,Low,Clear,Dry,1,28.8162,-106.0042
78,Dallas,2022-08-15,12:29,Medium,Cloudy,Wet,4,35.0685,-90.9021
79,Los Angeles,2023-06-04,18:38,Low,Hail,Icy,5,38.5038,-120.9212
80,San Jose,2022-07-06,15:48,Medium,Rain,Slippery,2,47.9297,-99.334
81,Chicago,2023-10-05,22:30,Low,Rain,Slippery,3,34.4678,-96.2356
82,New York,2023-04-01,19:35,Low,Clear,Dry,4,44.8929,-79.1038
83,Houston,2021-01-03,17:34,Low,Rain,Wet,4,39.3844,-82.4805
84,Charlotte,2022-02-21,09:08,Medium,Rain,Dry,5,43.3842,-85.0913
85,Houston,2022-09-29,15:35,Low,Snow,Dry,1,39.8973,-113.9935
86,Houston,2022-08-21,14:17,Medium,Rain,Dry,2,33.8225,-74.0629
87,Jacksonville,2023-11-07,18:08,Low,Fog,Dry,5,31.145,-121.8666
88,Indianapolis,2022-09-04,19:37,Medium,Clear,Wet,3,32.6461,-82.3306
89,Jacksonville,2023-02-12,13:20,High,Clear,Dry,4,26.0039,-83.2753
90,Austin,2023-02-20,12:42,Medium,Clear,Under Construction,2,36.5527,-91.3106
91,New York,2021-07-25,20:28,High,Clear,Dry,2,26.721,-81.3607
92,Houston,2022-06-27,11:44,Low,Clear,Wet,5,33.7402,-105.5336
93,San Antonio,2023-09-27,20:02,Low,Rain,Dry,2,42.1756,-99.4335
94,Columbus,2021-07-21,18:45,Medium,Rain,Slippery,1,32.4606,-119.0818
95,Los Angeles,2023-01-05,11:09,Medium,Rain,Dry,2,26.8163,-76.7163
96,New York,2022-05-09,13:37,Medium,Clear,Dry,1,45.6749,-97.8068
97,New York,2022-08-13,17:10,High,Windy,Dry,4,40.8772,-98.2445
98,Jacksonville,2022-09-11,08:24,Low,Clear,Dry,3,47.8319,-106.648
99,Jacksonville,2023-03-22,09:36,Medium,Hail,Slippery,4,44.1553,-75.0474
100,Los Angeles,2022-04-17,16:22,Low,Clear,Icy,2,39.4497,-75.023
101,New York,2021-03-22,10:28,Low,Clear,Slippery,3,42.1921,-112.8667
102,Indianapolis,2021-09-28,19:56,Medium,Cloudy,Icy,3,46.0231,-72.9022
103,Austin,2022-08-28,18:21,Medium,Clear,Icy,2,44.7832,-84.3407
104,Philadelphia,2023-03-25,22:51,Low,Clear,Dry,1,35.4601,-87.0129
105,San Diego,2022-06-21,15:52,Low,Rain,Dry,5,45.3374,-92.8068
106,Austin,2022-03-30,17:40,High,Clear,Dry,2,26.043,-120.065
107,Columbus,2023-10-06,06:15,Low,Rain,Wet,5,34.6399,-83.402
108,New York,2021-11-13,20:41,Medium,Clear,Under Construction,1,40.8765,-110.702
109,Chicago,2023-06-30,22:54,High,Clear,Slippery,3,26.3927,-107.6542
110,Houston,2021-09-08,22:52,Medium,Rain,Wet,1,26.1633,-104.6575
111,New York,2021-09-15,19:13,Medium,Clear,Dry,2,32.5569,-114.3272
112,Indianapolis,2021-01-06,09:09,Medium,Fog,Dry,1,28.0315,-103.3714
113,Los Angeles,2022-05-03,16:01,Low,Fog,Wet,1,35.9537,-81.5431
114,Phoenix,2023-11-18,16:28,High,Clear,Icy,5,31.9375,-88.5463
115,Jacksonville,2021-03-05,05:30,Medium,Clear,Wet,4,26.6903,-117.7989
116,San Antonio,2021-10-31,05:17,Medium,Fog,Dry,5,37.2028,-98.4068
117,New York,2023-06-01,06:44,Medium,Snow,Wet,2,34.8916,-75.8193
118,Houston,2023-04-28,11:29,Medium,Clear,Dry,3,33.6089,-114.0628
119,New York,2023-08-30,05:53,Medium,Fog,Dry,2,37.7965,-91.5038
120,Chicago,2022-11-07,17:26,Medium,Fog,Slippery,1,47.2732,-90.7787
121,Los Angeles,2022-12-22,06:32,Medium,Clear,Dry,5,33.4539,-82.3445
122,Philadelphia,2022-04-09,19:54,Medium,Rain,Wet,5,25.6038,-73.6876
123,Dallas,2022-07-02,02:17,Low,Clear,Dry,2,38.0254,-101.1592
124,New York,2021-10-18,18:01,Medium,Clear,Dry,2,33.5112,-84.477
125,Los Angeles,2021-06-23,20:09,Medium,Rain,Dry,4,36.1702,-99.0137
126,New York,2022-07-14,08:32,Medium,Clear,Wet,4,37.1195,-105.9622
127,New York,2022-03-28,12:38,Low,Cloudy,Icy,3,31.6573,-115.7608
128,New York,2023-10-16,18:11,Medium,Clear,Wet,3,26.6577,-77.1883
129,Charlotte,2021-03-28,12:29,High,Rain,Wet,4,31.6588,-100.9383
130,Houston,2022-10-28,07:39,Medium,Clear,Dry,1,30.5963,-91.3787
131,Chicago,2023-12-10,06:55,Low,Clear,Dry,5,39.5642,-94.4085
132,Chicago,2022-02-02,21:22,High,Rain,Dry,1,28.3682,-111.7419
133,New York,2021-11-10,18:41,High,Rain,Dry,5,42.4772,-98.6569
134,Chicago,2022-10-24,20:40,Medium,Rain,Wet,3,38.6027,-103.699
135,New York,2021-06-01,10:28,Low,Clear,Wet,1,39.1452,-95.6325
136,Dallas,2023-08-06,15:50,Low,Cloudy,Wet,2,32.3951,-97.2673
137,New York,2021-11-05,22:28,High,Clear,Wet,5,39.8609,-119.9646
138,Phoenix,2023-06-16,23:33,Low,Clear,Dry,4,42.8127,-86.6973
139,Chicago,2021-04-18,19:41,Low,Rain,Dry,3,41.6459,-87.8587
140,San Diego,2021-11-04,11:37,High,Clear,Wet,4,27.9659,-85.1406
141,San Diego,2021-06-23,10:24,Low,Clear,Wet,5,27.1494,-87.1363
142,Chicago,2023-11-08,11:23,High,Clear,Icy,2,30.2105,-114.8466
143,New York,2021-06-08,10:50,Medium,Snow,Slippery,1,40.2244,-76.4276
144,Los Angeles,2021-09-26,16:09,High,Fog,Icy,2,41.5872,-119.728
145,Indianapolis,2023-01-17,17:15,Medium,Fog,Icy,2,37.2823,-105.9077
146,Chicago,2023-08-19,21:12,High,Windy,Dry,3,42.8969,-95.8489
147,Los Angeles,2023-05-08,22:52,Medium,Snow,Dry,4,45.1047,-93.1639
148,Jacksonville,2021-07-30,18:33,Low,Fog,Dry,5,28.389,-99.2514
149,Chicago,2022-03-31,19:56,Low,Clear,Wet,2,33.8818,-117.7565
150,New York,2022-04-05,02:59,Medium,Clear,Dry,1,31.5982,-78.8524
151,Houston,2021-10-12,18:30,Low,Clear,Dry,2,37.6225,-84.1838
152,Los Angeles,2023-12-17,12:49,Low,Clear,Dry,5,35.5136,-116.2354
153,San Diego,2023-10-21,16:01,Medium,Fog,Dry,1,39.1406,-109.4907
154,New York,2023-05-04,08:42,High,Clear,Wet,5,43.0875,-95.6036
155,New York,2021-02-11,12:30,Low,Clear,Wet,3,43.136,-104.0703
156,San Jose,2021-08-01,18:47,Low,Clear,Dry,2,44.0988,-86.3965
157,New York,2023-09-08,16:51,Medium,Cloudy,Dry,2,26.0075,-111.6276
158,Phoenix,2021-03-27,10:19,High,Rain,Dry,2,31.5806,-77.1688
159,Los Angeles,2021-04-08,20:21,Medium,Clear,Dry,4,45.5767,-101.8945
