id,city,date,time,severity,weather_condition,road_condition,num_vehicles,latitude,longitude,hour,month,year,month_year,period
1,Los Angeles,2021-08-17,02:17,Low,Clear,Wet,5,26.9996,-100.0601,2,8,2021,2021-08,Night
2,Phoenix,2021-03-03,06:14,Low,Clear,Wet,5,34.649,-98.6411,6,3,2021,2021-03,Day
3,San Jose,2022-07-24,19:00,Low,Clear,Dry,2,47.0159,-104.4971,19,7,2022,2022-07,Night
4,Jacksonville,2021-07-09,11:22,Medium,Snow,Wet,5,27.871,-74.0406,11,7,2021,2021-07,Day
5,San Antonio,2021-06-11,15:53,High,Clear,Dry,1,26.054,-110.1493,15,6,2021,2021-06,Day
6,Los Angeles,2022-08-16,23:54,Low,Clear,Wet,3,28.741,-103.5259,23,8,2022,2022-08,Night
7,San Diego,2022-07-01,17:43,Medium,Clear,Wet,2,35.632,-107.9627,17,7,2022,2022-07,Day
8,San Jose,2022-03-26,17:53,Low,Snow,Icy,4,31.158,-111.0289,17,3,2022,2022-03,Day
9,Houston,2022-10-07,08:31,High,Rain,Dry,2,42.1347,-93.9732,8,10,2022,2022-10,Day
10,Chicago,2023-05-28,20:25,High,Clear,Dry,1,44.8054,-114.0523,20,5,2023,2023-05,Night
11,San Antonio,2021-11-24,19:27,Low,Rain,Dry,3,47.3348,-77.2395,19,11,2021,2021-11,Night
12,Dallas,2021-01-24,17:07,Medium,Clear,Wet,1,31.7505,-113.7758,17,1,2021,2021-01,Day
13,Dallas,2021-01-07,22:56,High,Fog,Wet,1,45.0219,-106.4809,22,1,2021,2021-01,Night
14,Chicago,2023-11-06,16:09,Low,Hail,Slippery,1,38.7757,-96.5925,16,11,2023,2023-11,Day
15,Indianapolis,2021-08-18,21:56,High,Clear,Dry,5,46.7798,-117.546,21,8,2021,2021-08,Night
16,Philadelphia,2023-09-23,19:48,Low,Rain,Slippery,2,31.0963,-76.6335,19,9,2023,2023-09,Night
17,Philadelphia,2023-05-17,22:59,Medium,Clear,Dry,3,35.0763,-95.0861,22,5,2023,2023-05,Night
18,Chicago,2021-09-05,09:04,Medium,Clear,Dry,1,41.2803,-118.9386,9,9,2021,2021-09,Day
19,Chicago,2021-05-19,21:55,Medium,Clear,Dry,5,28.0432,-73.3533,21,5,2021,2021-05,Night
20,Austin,2023-08-27,09:30,Low,Clear,Dry,4,34.4554,-77.0805,9,8,2023,2023-08,Day
21,New York,2021-04-21,17:41,Medium,Clear,Slippery,2,29.4066,-94.1131,17,4,2021,2021-04,Day
22,Houston,2021-10-15,12:17,High,Clear,Icy,5,27.2519,-88.0885,12,10,2021,2021-10,Day
23,San Jose,2021-01-31,22:59,Low,Clear,Dry,4,45.7562,-113.4389,22,1,2021,2021-01,Night
24,Charlotte,2021-01-05,23:16,Medium,Clear,Wet,5,40.223,-96.6931,23,1,2021,2021-01,Night
25,Philadelphia,2022-01-24,10:03,Medium,Fog,Dry,5,35.9661,-74.1919,10,1,2022,2022-01,Day
26,New York,2023-12-24,07:32,Low,Rain,Wet,2,34.2868,-73.037,7,12,2023,2023-12,Day
27,San Antonio,2022-05-20,15:02,Medium,Rain,Wet,3,29.698,-84.758,15,5,2022,2022-05,Day
28,San Diego,2022-05-04,09:08,Low,Clear,Icy,1,25.2143,-89.6997,9,5,2022,2022-05,Day
29,Phoenix,2021-07-24,05:13,Low,Clear,Dry,2,33.4991,-113.7972,5,7,2021,2021-07,Night
30,San Diego,2022-09-12,16:51,Low,Snow,Dry,1,46.5954,-115.0169,16,9,2022,2022-09,Day
31,Philadelphia,2021-08-25,20:47,Low,Rain,Wet,2,40.8124,-77.6485,20,8,2021,2021-08,Night
32,Columbus,2023-11-02,13:57,Low,Rain,Icy,1,25.0816,-81.9018,13,11,2023,2023-11,Day
33,Philadelphia,2022-06-21,07:28,Medium,Clear,Dry,2,37.5486,-78.6011,7,6,2022,2022-06,Day
34,Chicago,2021-10-31,12:02,High,Fog,Slippery,3,29.8318,-109.0245,12,10,2021,2021-10,Day
35,Columbus,2021-07-30,11:35,Medium,Rain,Dry,2,44.8859,-71.2373,11,7,2021,2021-07,Day
36,Los Angeles,2021-12-29,20:01,High,Fog,Dry,2,31.1365,-81.0565,20,12,2021,2021-12,Night
37,Jacksonville,2021-08-10,12:02,Low,Snow,Dry,3,43.8723,-76.6912,12,8,2021,2021-08,Day
38,Houston,2022-04-02,02:12,Low,Clear,Icy,3,39.7541,-101.2167,2,4,2022,2022-04,Night
